date,Q,target
2020-09-22,2.0805000000000007,2.97
2020-09-23,2.8215000000000012,2.73
2020-09-24,2.593500000000001,3.1
2020-09-25,2.945000000000001,3.6
2020-09-26,3.4200000000000017,2.72
2020-09-27,2.5840000000000014,8.63
2020-09-28,8.198500000000005,6.69
2020-09-29,6.355500000000003,6.17
2020-09-30,5.861500000000002,4.09
2020-10-01,3.8855000000000013,3.08
2020-10-02,2.9260000000000015,3.28
2020-10-03,3.116000000000001,2.82
2020-10-04,2.679000000000001,3.19
2020-10-05,3.0305000000000013,3.23
2020-10-06,3.068500000000001,4.22
2020-10-07,4.009000000000001,7.11
2020-10-08,6.754500000000003,13.98
2020-10-09,13.281000000000006,14.76
2020-10-10,14.022000000000006,14.9
2020-10-11,14.155000000000006,16.49
2020-10-12,15.665500000000005,16.83
2020-10-13,15.988500000000005,14.03
2020-10-14,13.328500000000005,12.74
2020-10-15,12.103000000000005,9.12
2020-10-16,8.664000000000003,8.58
2020-10-17,8.151000000000003,9.67
2020-10-18,9.186500000000004,8.01
2020-10-19,7.609500000000003,6.69
2020-10-20,6.355500000000003,7.06
2020-10-21,6.7070000000000025,8.94
2020-10-22,8.493000000000004,10.62
2020-10-23,10.089000000000004,7.81
2020-10-24,7.419500000000003,9.16
2020-10-25,8.702000000000004,7.94
2020-10-26,7.543000000000004,9.23
2020-10-27,8.768500000000005,6.84
2020-10-28,6.498000000000003,8.78
2020-10-29,8.341000000000003,10.95
2020-10-30,10.402500000000003,12.55
2020-10-31,11.922500000000007,16.49
2020-11-01,15.665500000000005,15.71
2020-11-02,14.924500000000007,17.67
2020-11-03,16.786500000000007,16.62
2020-11-04,15.789000000000007,16.0
2020-11-05,15.200000000000006,13.74
2020-11-06,13.053000000000006,11.81
2020-11-07,11.219500000000005,12.17
2020-11-08,11.561500000000004,11.3
2020-11-09,10.735000000000005,10.71
2020-11-10,10.174500000000005,10.46
2020-11-11,9.937000000000005,9.85
2020-11-12,9.357500000000003,11.57
2020-11-13,10.991500000000006,12.36
2020-11-14,11.742000000000004,10.88
2020-11-15,10.336000000000006,11.67
2020-11-16,11.086500000000004,16.64
2020-11-17,15.808000000000007,18.69
2020-11-18,17.75550000000001,19.09
2020-11-19,18.135500000000008,19.76
2020-11-20,18.77200000000001,14.29
2020-11-21,13.575500000000005,15.32
2020-11-22,14.554000000000006,14.47
2020-11-23,13.746500000000006,15.32
2020-11-24,14.554000000000006,14.37
2020-11-25,13.651500000000006,14.54
2020-11-26,13.813000000000004,13.3
2020-11-27,12.635000000000005,13.51
2020-11-28,12.834500000000006,14.64
2020-11-29,13.908000000000007,14.31
2020-11-30,13.594500000000005,11.82
2020-12-01,11.229000000000005,20.17
2020-12-02,19.16150000000001,18.36
2020-12-03,17.442000000000007,21.9
2020-12-04,20.805000000000007,22.91
2020-12-05,21.76450000000001,19.06
2020-12-06,18.107000000000006,19.3
2020-12-07,18.335000000000008,29.28
2020-12-08,27.816000000000013,35.09
2020-12-09,33.33550000000002,29.27
2020-12-10,27.80650000000001,25.94
2020-12-11,24.64300000000001,23.54
2020-12-12,22.36300000000001,25.51
2020-12-13,24.23450000000001,21.38
2020-12-14,20.311000000000007,20.47
2020-12-15,19.446500000000007,29.14
2020-12-16,27.68300000000001,30.77
2020-12-17,29.23150000000001,33.67
2020-12-18,31.986500000000014,29.87
2020-12-19,28.376500000000014,28.34
2020-12-20,26.923000000000012,26.0
2020-12-21,24.70000000000001,25.63
2020-12-22,24.34850000000001,54.38
2020-12-23,51.66100000000002,62.56
2020-12-24,59.43200000000003,123.41
2020-12-25,117.23950000000005,135.8
2020-12-26,129.01000000000008,85.36
2020-12-27,81.09200000000003,76.68
2020-12-28,72.84600000000003,106.85
2020-12-29,101.50750000000004,90.43
2020-12-30,85.90850000000005,79.62
2020-12-31,75.63900000000004,65.3
2021-01-01,62.035000000000025,55.94
2021-01-02,53.14300000000002,48.96
2021-01-03,46.51200000000002,45.36
2021-01-04,43.09200000000002,42.3
2021-01-05,40.18500000000002,40.91
2021-01-06,38.864500000000014,42.14
2021-01-07,40.033000000000015,41.98
2021-01-08,39.881000000000014,43.47
2021-01-09,41.296500000000016,42.24
2021-01-10,40.12800000000002,39.92
2021-01-11,37.92400000000002,36.64
2021-01-12,34.808000000000014,57.98
2021-01-13,55.08100000000002,72.12
2021-01-14,68.51400000000004,68.59
2021-01-15,65.16050000000003,55.14
2021-01-16,52.383000000000024,46.23
2021-01-17,43.918500000000016,43.71
2021-01-18,41.52450000000002,44.54
2021-01-19,42.31300000000002,57.43
2021-01-20,54.55850000000002,87.69
2021-01-21,83.30550000000004,82.24
2021-01-22,78.12800000000003,84.93
2021-01-23,80.68350000000004,85.47
2021-01-24,81.19650000000003,72.36
2021-01-25,68.74200000000003,60.94
2021-01-26,57.89300000000002,60.45
2021-01-27,57.42750000000003,61.02
2021-01-28,57.96900000000003,67.71
2021-01-29,64.32450000000001,91.85
2021-01-30,87.25750000000004,130.68
2021-01-31,124.14600000000006,111.39
2021-02-01,105.82050000000004,82.5
2021-02-02,78.37500000000003,63.2
2021-02-03,60.04000000000003,84.58
2021-02-04,80.35100000000003,132.5
2021-02-05,125.87500000000006,122.64
2021-02-06,116.50800000000005,98.74
2021-02-07,93.80300000000004,71.56
2021-02-08,67.98200000000003,49.19
2021-02-09,46.73050000000002,53.3
2021-02-10,50.63500000000002,57.82
2021-02-11,54.92900000000002,53.96
2021-02-12,51.26200000000002,48.53
2021-02-13,46.10350000000002,43.99
2021-02-14,41.79050000000002,40.66
2021-02-15,38.62700000000001,41.98
2021-02-16,39.881000000000014,63.07
2021-02-17,59.91650000000003,120.37
2021-02-18,114.35150000000006,133.92
2021-02-19,127.22400000000005,135.52
2021-02-20,128.74400000000006,129.41
2021-02-21,122.93950000000005,94.66
2021-02-22,89.92700000000004,72.52
2021-02-23,68.89400000000002,61.41
2021-02-24,58.33950000000002,52.43
2021-02-25,49.80850000000002,48.15
2021-02-26,45.74250000000002,44.21
2021-02-27,41.99950000000002,43.35
2021-02-28,41.18250000000002,39.11
2021-03-01,37.15450000000001,36.45
2021-03-02,34.62750000000002,35.42
2021-03-03,33.649000000000015,32.1
2021-03-04,30.495000000000015,32.99
2021-03-05,31.340500000000016,29.76
2021-03-06,28.272000000000013,27.12
2021-03-07,25.764000000000014,27.39
2021-03-08,26.020500000000013,27.27
2021-03-09,25.906500000000012,29.91
2021-03-10,28.41450000000001,33.79
2021-03-11,32.10050000000001,44.13
2021-03-12,41.92350000000002,60.48
2021-03-13,57.456000000000024,75.12
2021-03-14,71.36400000000003,85.68
2021-03-15,81.39600000000004,84.07
2021-03-16,79.86650000000003,83.2
2021-03-17,79.04000000000003,68.79
2021-03-18,65.35050000000004,58.02
2021-03-19,55.11900000000003,52.37
2021-03-20,49.75150000000002,42.86
2021-03-21,40.71700000000002,41.35
