Q,Qq,Qb,soil,wetness,Et,groundwater,percolation,target,date
1.4703516182379417e-15,0.0,0.0,-4.3648,0.11508549868350564,5.0,449.9630297876097,0.0,28.52,2020-10-22
1024.2899724392478,0.0,0.20483751073677586,22.827965261041196,0.04043656546231168,-26.486146095717885,449.95716217091615,0.29338083467669074,24.0,2020-10-23
48.415,0.01,0.0,-4.3648,0.05415090850458655,5.0,449.95716217091615,0.0,30.4,2020-10-24
1466.7294294169028,0.0,0.29331655422795777,-2.3648,0.16079470720959804,3.0,449.95716217091615,0.0,24.09,2020-10-25
3534.295,0.73,0.0,-4.3648,0.12692727290232353,5.0,449.95716217091615,0.0,22.96,2020-10-26
1985.015,0.41000000000000003,0.0,-4.3648,0.07345423633283331,5.0,449.95716217091615,0.0,31.29,2020-10-27
48.415,0.01,0.0,-4.3648,0.07036446717638657,5.0,449.95716217091615,0.0,28.61,2020-10-28
1.985217545907858e-15,0.0,0.0,-4.3648,0.12901765378367847,5.0,449.95716217091615,0.0,37.43,2020-10-29
4260.52,0.88,0.0,-3.3648,0.17244195984988545,4.0,449.95716217091615,0.0,31.16,2020-10-30
1936.6000000000001,0.4,0.0,-4.3648,0.12659541610261593,5.0,449.95716217091615,0.0,25.86,2020-10-31
871.4699999999999,0.18,0.0,-3.3648,0.06833073575712771,4.0,449.95716217091615,0.0,35.27,2020-11-01
2870.821789986586,0.29,0.2933280251947978,-3.3648,0.06332430909028176,4.0,449.95716217091615,0.0,31.85,2020-11-02
3146.975,0.65,0.0,16.04491356242314,0.021395675576962987,-18.614609571788414,449.95306425072886,0.20489600936527522,26.87,2020-11-03
5637.245238870674,0.77,0.3818198657875561,-4.3648,0.05354980850468691,5.0,449.95306425072886,0.0,21.87,2020-11-04
1839.77,0.38,0.0,29.61098358268295,0.014158703438843342,-34.357682619647356,449.9454262699896,0.38189903696440436,28.18,2020-11-05
2635.6124292731133,0.15,0.3818393019244302,-4.3648,0.05492389768683985,5.0,449.9454262699896,0.0,26.25,2020-11-06
1210.375,0.25,0.0,29.610964142515954,0.01470833911170452,-34.357682619647356,449.93778790044695,0.3819184771314034,25.67,2020-11-07
1515.4084929041646,0.01,0.2933693616446685,-4.3648,0.05514371961559559,5.0,449.93778790044695,0.0,27.52,2020-11-08
532.565,0.11,0.0,29.610944701359372,0.014796267883206817,-34.357682619647356,449.9301491420812,0.3819379182879839,21.66,2020-11-09
1.5029644195863056e-15,0.0,0.0,-4.3648,0.05517885878216154,5.0,449.9301491420812,0.0,20.05,2020-11-10
1.3912482277333993e-15,0.0,0.0,29.61092525921316,0.014810323549833195,-34.357682619647356,449.9225099948725,0.38195736043419587,27.33,2020-11-11
1467.050863800792,0.0,0.29338083467669074,-4.3648,0.11174637107111969,5.0,449.9225099948725,0.0,6.53,2020-11-12
4.53109771925142e-16,0.0,0.0,-2.3648,0.062391117744529205,3.0,449.9225099948725,0.0,10.13,2020-11-17
7.029099524658023e-16,0.0,0.0,16.04486624198659,0.021022399038661956,-18.614609571788414,449.9184111282765,0.20494332980182453,36.25,2020-11-18
2.5153490401663703e-15,0.0,0.0,-3.3648,0.07835420844686576,4.0,449.9184111282765,0.0,15.62,2020-11-19
1.083855227790309e-15,0.0,0.0,-1.3648,0.05901576840647274,2.0,449.9184111282765,0.0,32.03,2020-11-20
1646.1100000000001,0.34,0.0,9.261843275136787,0.021335845255380223,-10.743073047858942,449.91608253282203,0.11642977272215549,21.21,2020-11-21
726.225,0.15,0.0,-4.3648,0.10545792210884915,5.0,449.91608253282203,0.0,22.41,2020-11-22
1.5550061238656098e-15,0.0,0.0,29.610889456919015,0.03492194888050824,-34.357682619647356,449.9084426695675,0.381993162728342,27.91,2020-11-23
1258.79,0.26,0.0,-2.3648,0.0632290392772072,3.0,449.9084426695675,0.0,16.17,2020-11-24
968.3000000000001,0.2,0.0,16.044847031880604,0.021357567651733158,-18.614609571788414,449.9043434187694,0.20496253990781257,21.7,2020-11-25
1.5057399771478686e-15,0.0,0.0,-0.3648,0.035235009183969684,1.0,449.9043434187694,0.0,25.15,2020-11-26
3396.917494831059,0.49,0.20489600936527522,-1.3648,0.12162021439447511,2.0,449.9043434187694,0.0,27.85,2020-11-27
1.932481952238163e-15,0.0,0.0,2.4788232894643856,0.04804120960252202,-2.8715365239294712,449.9037851540801,0.02791323446508594,25.5,2020-11-28
1909.686134340504,0.0,0.38189903696440436,-2.3648,0.023340219442705566,3.0,449.9037851540801,0.0,27.65,2020-11-29
1.9186041644303486e-15,0.0,0.0,16.044840671654743,0.005402039717932504,-18.614609571788414,449.8996857760774,0.2049689001336702,22.06,2020-11-30
1909.7833448955828,0.0,0.3819184771314034,-3.3648,0.3099988133076707,4.0,449.8996857760774,0.0,41.06,2020-12-01
3146.975,0.65,0.0,-0.3648,0.12671982107168198,1.0,449.8996857760774,0.0,33.34,2020-12-02
1958.2955603990636,0.01,0.3819379182879839,-0.3648,0.06671691179281328,1.0,449.8996857760774,0.0,23.16,2020-12-03
1.607047828144914e-15,0.0,0.0,-1.3648,0.08763256878366876,2.0,449.8996857760774,0.0,19.88,2020-12-04
1909.9777808511965,0.0,0.38195736043419587,9.261828748448222,0.03278256540625864,-10.743073047858942,449.89735689008916,0.11644429941071918,20.83,2020-12-05
8182.134999999999,1.69,0.0,-1.3648,0.02852087435770383,2.0,449.89735689008916,0.0,27.39,2020-12-06
242.07500000000002,0.05,0.0,-0.3648,0.07069056785768413,1.0,449.89735689008916,0.0,26.54,2020-12-07
