Q,Qq,Qb,soil,wetness,Et,date
0.0,0.0,0.0,0.0,0.0,0.0,2020-09-21
21.636,0.0,0.0,0.0,0.0,0.0,2020-09-22
11.700000000000001,0.0,0.0,0.0,0.0,0.0,2020-09-23
20.421000000000003,0.0,0.0,165.51281490000002,0.2672,1.04375,2020-09-24
21.519000000000002,0.0,0.0,225.50410880750422,0.25952,1.4219550931250002,2020-09-25
18.342,0.0,0.0,255.36523126897666,0.20691199999999998,1.6094006800469014,2020-09-26
11.151000000000002,0.0,0.0,314.67730238046914,0.2233472,1.983532695431104,2020-09-27
20.529,0.0,0.0,350.98657889904234,0.19640832,2.0,2020-09-28
15.010919835000003,0.0,0.4434351,362.19673660378515,0.14024499199999998,2.281166118119015,2020-09-29
19.43473834946518,0.0,0.586750999370802,370.48691376224315,0.10174699519999998,2.332479603773657,2020-09-30
18.450055329708583,0.0,0.5294768584806845,394.59083744072774,0.10424819711999998,2.4842932110140197,2020-10-01
21.379736764114984,0.0,0.704396193076454,469.741642722121,0.188948918272,2.959942734004548,2020-10-02
28.208114959212782,0.0,0.6907234814267995,469.19406793799595,0.1165693509632,2.0,2020-10-03
20.70937475056745,0.0,0.5086761771381728,526.98125025034,0.16914161057792002,3.3199629246124744,2020-10-04
31.43374175210307,0.0,0.3773432377683173,524.140499825226,0.103084966346752,3.2998828140646252,2020-10-05
17.1710156439262,0.0,0.4117831105014109,682.6018354495772,0.32585097980805117,4.307128123907662,2020-10-06
18.243697120378137,33.66832933466276,0.8892519846021888,791.1815308263156,0.4803105878848307,5.0,2020-10-07
39.156438566506296,0.0,0.5475747841250502,793.9252827687347,0.38578635273089845,3.0,2020-10-08
30.395926548586907,0.0,0.8928547630434175,792.4093190974736,0.32587181163853907,5.0,2020-10-09
26.50573746939196,0.0,0.5408676110493628,792.6696714584841,0.2931230869831234,5.0,2020-10-10
36.420805813980074,0.0,2.2315362517412587,792.4824428750906,0.3166738521898741,5.0,2020-10-11
36.89669879763175,0.0,3.8184691736844045,792.7135457250542,0.28760431131392444,5.0,2020-10-12
32.94350964657547,0.0,3.074717231265261,787.3791237216166,0.17416258678835464,4.960709660781589,2020-10-13
28.69807876714743,0.0,2.5906809025263855,781.6403547379698,0.10449755207301278,4.921119523260104,2020-10-14
24.201779260288458,0.0,2.330328541515831,776.2680884802155,0.06269853124380767,4.885252217112312,2020-10-15
