STN,YYYYMMDD,RD,SX,# STN,DDVEC,FHVEC,FG,FHX,FHXH,FHN,FHNH,FXX,FXXH,TG,TN,TNH,TX,TXH,T10N,T10NH,SQ,SP,Q,DR,RH,RHX,RHXH,PG,PX,PXH,PN,PNH,VVN,VVNH,VVX,VVXH,NG,UG,UX,UXH,UN,UNH,EV24,ALFANUMERIEKEWAARDE,Bebouwd gebied,Dikke eerdgronden,Ingewikkelde samenstelling,Kalkloze zandgronden,Moerige gronden,Podzolgronden,Rivierkleigronden,Veengronden,Water
550,2021-04-06,   24,  998,260,302,41,43,60,10,30,4,  150,   12,25,5,23,57,10,-3,   24,63,47,1263,22,26,8,   13,10129,10140,   24,10116,   14,50,    3,   81,   13,    6,76,91,6,57,14,15,15.96,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-07,  115,  998,260,291,43,45,70,11,20,2,  160,   15,34,4,5,72,13,-5,   24,40,30,1037,63,113,41,    6,10174,10225,   24,10119,    5,14,    5,   75,   17,    7,81,96,5,61,14,12,23.4,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-09,    1,    0,260,246,23,40,50,7,20,19,  100,   14,78,45,1,124,14,31,    6,68,50,1369,0,0,0,    1,10133,10153,    1,10126,   16,68,   21,   81,   12,    8,71,88,24,50,16,19,17.09,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-10,    0,    0,260,36,43,45,60,17,20,1,  110,   20,50,22,23,76,10,21,   24,2,1,525,120,114,25,   17,10123,10147,   10,10094,   24,42,   23,   75,    8,    8,86,94,22,70,10,7,20.57,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-11,  136,    0,260,342,38,41,60,10,10,22,  110,    5,42,-4,23,79,15,-44,   24,37,27,1085,38,12,4,    4,10153,10224,   24,10090,    2,44,    1,   83,   17,    5,78,94,1,55,16,13,28.41,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-12,    5,    0,260,272,28,30,60,15,10,6,  110,   15,35,-6,5,83,16,-45,    6,90,66,1663,12,7,3,   10,10272,10309,   24,10227,    1,63,    9,   83,   18,    4,77,95,2,52,15,20,23.67,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-13,    3,    0,260,309,18,21,40,12,0,21,  120,   14,42,-22,5,96,12,-60,    6,79,58,1502,0,-1,-1,    1,10323,10333,    9,10310,    1,10,    4,   83,   14,    4,68,97,3,41,17,18,19.05,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-14,   12,    0,260,3,18,26,50,14,10,1,  110,   15,45,-6,1,96,14,-34,    6,61,44,1411,6,9,5,    8,10314,10324,    7,10305,   16,56,    7,   83,   18,    6,73,95,1,43,12,18,16.92,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-15,   13,    0,260,28,21,26,50,10,10,2,   90,   15,53,0,5,97,15,-18,    6,59,43,1384,6,13,13,    1,10309,10319,   10,10301,   18,35,    5,   83,   13,    6,70,98,4,45,14,18,18.43,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-16,    0,    0,260,11,33,35,60,16,20,1,  100,   14,65,-19,4,125,14,-48,    6,117,84,2059,0,0,0,    1,10289,10302,    1,10274,   16,65,    3,   83,   16,    1,64,97,6,44,12,27,20.36,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-17,    1,    0,260,358,31,32,50,10,20,2,   90,   13,71,-1,5,121,15,-29,    6,122,87,2133,0,0,0,    1,10263,10283,    1,10244,   24,62,    5,   83,   19,    2,68,95,5,45,11,29,20.58,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-18,    1,    0,260,328,21,22,40,13,0,5,   70,   13,84,-2,4,156,16,-29,    6,91,65,2044,0,0,0,    1,10229,10239,    1,10218,   16,0,    5,   81,   14,    3,75,99,3,44,14,29,20.3,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-19,    0,    0,260,61,9,20,40,12,0,20,   80,   11,88,43,3,146,13,8,   24,32,23,1271,0,-1,-1,    1,10202,10215,    1,10192,   24,1,    6,   82,   13,    5,83,99,6,59,13,18,22.1,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-20,    0,    0,260,1,10,17,30,16,10,1,   60,   10,109,27,5,175,12,-7,    6,73,51,1560,0,0,0,    1,10176,10188,    1,10164,   18,2,    3,   77,   16,    3,69,99,3,43,12,23,17.03,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-21,    0,    0,260,359,39,40,70,17,10,1,  120,   16,81,33,24,127,14,-9,   24,105,74,1976,0,0,0,    1,10200,10243,   24,10168,    2,22,    2,   81,   18,    5,73,98,2,52,16,27,15.45,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-22,    0,    0,260,347,27,28,50,17,10,1,   90,   17,67,5,24,118,15,-34,   24,86,60,2025,0,0,0,    1,10269,10288,   23,10246,    1,8,   24,   82,   19,    6,66,98,24,48,11,27,27.94,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-23,    0,    0,260,359,25,28,50,17,0,2,   80,   14,71,-17,5,135,14,-53,    6,132,92,2412,0,0,0,    1,10295,10306,    8,10286,   17,3,    2,   82,   18,    3,70,99,2,42,16,33,17.27,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-24,    0,    0,260,30,33,34,60,16,10,1,  110,   17,76,4,5,135,15,-29,    6,93,64,1873,0,0,0,    1,10283,10292,    7,10268,   16,50,    4,   83,   17,    6,65,98,3,39,17,26,24.82,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-25,    0,    0,260,26,34,35,50,9,10,1,   90,    8,71,36,1,109,15,9,    6,59,41,1640,0,0,0,    1,10274,10289,    8,10257,   23,74,    1,   82,    5,    5,63,79,1,50,15,22,24.08,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-26,    0,    0,260,26,36,37,50,15,20,3,  100,   16,73,18,5,125,14,-6,    6,133,91,2497,0,0,0,    1,10201,10251,    1,10150,   24,70,    1,   83,   19,    2,63,88,4,43,14,34,25.29,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-27,    0,    0,260,80,27,31,50,11,20,1,  100,   14,92,10,5,157,15,-17,    6,121,83,2384,0,0,0,    1,10105,10143,    1,10079,   24,70,    4,   83,   18,    2,50,83,4,30,16,34,25.42,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-28,    0,    0,260,31,37,40,60,16,20,7,  120,   18,108,38,5,178,14,15,    6,70,48,1789,0,0,0,    1,10044,10074,    1,10020,   24,75,   14,   83,    1,    5,50,66,24,34,12,27,27.48,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-29,   22,    0,260,303,37,42,60,14,20,24,  140,   14,77,63,12,92,2,63,   12,0,0,337,97,54,18,    4,10058,10114,   23,10016,    2,56,    4,   80,    1,    8,82,94,5,65,1,5,15.97,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-04-30,  100,    0,260,316,16,20,40,16,10,3,   70,   16,78,54,22,103,14,36,   24,15,10,763,77,83,42,    6,10131,10145,   24,10113,    1,36,    6,   75,   15,    8,88,96,5,75,15,11,22.42,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-01,   12,    0,260,293,25,28,50,16,10,3,   90,   15,77,19,5,127,13,-12,    6,113,76,2000,0,-1,-1,    1,10142,10158,   24,10135,    4,13,    4,   83,   14,    2,74,96,3,51,11,27,25.17,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-02,    1,    0,260,299,29,31,50,12,10,24,  110,    9,68,21,4,110,17,-10,    6,81,54,1663,0,-1,-1,    1,10190,10212,   22,10159,    1,65,    3,   83,   14,    4,71,95,24,53,12,22,28.28,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-03,    0,    0,260,204,45,48,90,24,20,1,  190,   24,99,11,2,139,15,-16,    6,25,17,1494,7,2,2,   24,10141,10206,    1,10000,   24,59,    8,   83,   17,    8,62,97,2,41,16,22,33.65,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-04,   27,    0,260,236,72,77,100,10,40,22,  210,   10,90,63,21,109,1,55,   24,25,17,862,63,67,15,   21,9968,10000,   22,9932,    9,58,    5,   80,   12,    8,77,88,3,60,12,12,25.57,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-05,   68,    0,260,272,44,47,70,11,10,21,  170,    9,71,44,24,108,15,36,   24,90,60,1846,37,42,14,    1,10054,10092,   20,10000,    2,59,   24,   82,   18,    7,74,92,24,53,15,25,23.69,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-06,   26,    0,260,251,12,21,30,1,10,6,   70,   10,59,26,24,104,15,-5,   24,51,34,1183,29,42,26,   11,10064,10079,   24,10045,   15,25,    4,   82,   15,    7,83,97,4,60,15,15,24.54,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-07,   58,    0,260,269,24,28,50,11,0,22,  100,   12,65,8,2,118,14,-20,   24,116,76,2116,9,15,15,    4,10147,10184,   20,10081,    1,20,   23,   83,   10,    3,75,98,1,51,12,28,20.72,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-08,    0,    0,260,162,40,42,60,11,20,1,  110,   14,104,7,1,164,19,-26,    6,16,10,724,37,25,12,   12,10107,10172,    1,10055,   24,56,   14,   80,    9,    7,78,98,1,61,10,11,23.88,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-09,   13,    0,260,176,33,38,70,15,20,19,  130,   15,185,114,4,249,15,92,    6,74,48,1830,9,15,6,   13,10010,10048,    1,9987,   19,70,    4,   83,   12,    7,68,83,4,50,15,32,22.8,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-10,   10,    0,260,206,24,37,80,6,10,20,  140,    6,159,124,24,194,15,107,   24,40,26,1242,9,14,11,    9,10042,10085,   22,9971,    4,59,   11,   83,    5,    8,74,89,2,51,16,21,19.36,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-11,   15,    0,260,336,5,12,30,16,10,1,   90,   18,136,94,24,171,12,71,   24,4,3,891,32,10,4,   14,10087,10104,   24,10077,    8,48,   21,   80,   12,    8,83,98,21,66,12,14,24.16,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-12,   14,    0,260,271,12,23,50,17,10,1,  110,   17,115,58,24,176,15,29,   24,69,45,1779,6,19,19,   17,10109,10114,    8,10099,   24,15,    4,   81,   12,    5,78,98,2,44,13,27,33.15,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-13,   28,    0,260,29,10,20,50,15,10,1,  110,   17,121,37,4,191,14,12,    6,75,48,1952,40,87,33,   21,10076,10097,    1,10058,   15,1,    2,   82,   12,    6,80,99,1,48,14,30,29.09,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-14,   94,    0,260,360,14,18,30,14,10,5,   60,   14,111,76,23,159,16,50,   24,40,26,1712,6,1,1,   18,10078,10086,   10,10070,    1,19,    4,   80,   13,    7,82,97,4,54,16,26,24.87,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-15,    2,    0,260,176,11,18,30,8,0,5,  100,   15,106,77,1,136,14,59,    6,9,6,985,24,32,12,   19,10027,10069,    1,9999,   19,18,   22,   75,   16,    8,86,97,22,66,11,15,17.06,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-16,   54,    0,260,220,26,30,50,8,10,18,  120,   10,114,81,22,149,15,62,   24,58,37,1503,24,75,34,   10,10000,10007,    8,9994,   18,57,    5,   83,   14,    7,83,96,22,57,15,23,20.16,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-17,  104,    0,260,249,17,29,50,15,10,23,  100,   13,111,71,24,148,13,52,   24,27,17,1100,48,112,55,   11,10037,10095,   23,9994,    2,50,   24,   80,   16,    8,86,96,5,68,16,17,20.0,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-18,   88,    0,260,283,19,24,50,13,0,22,  100,   13,113,58,24,164,12,31,   24,92,58,2067,2,8,8,    9,10126,10154,   23,10096,    1,6,    1,   83,   19,    5,77,98,1,53,12,31,26.09,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-19,    4,    0,260,250,11,20,40,9,10,1,   80,   10,104,63,1,144,17,36,    6,37,23,1214,27,82,54,   10,10166,10201,   24,10147,    2,4,   24,   75,   12,    6,88,99,24,75,13,18,29.35,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-20,   87,    0,260,190,33,36,60,16,10,1,  120,   24,122,50,1,158,14,26,    6,36,23,1624,0,-1,-1,    1,10159,10209,    7,10056,   24,0,    4,   83,   15,    7,74,99,4,51,15,25,32.59,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-21,    4,    0,260,216,83,83,110,17,50,1,  210,   14,132,104,4,167,16,88,    6,95,60,2077,2,1,1,   13,10010,10057,    1,9972,   24,65,    4,   79,   13,    6,60,82,4,41,16,33,26.48,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-22,   44,    0,260,233,39,47,80,2,10,21,  160,    2,105,85,24,125,14,77,   24,13,8,799,86,70,16,    9,10024,10088,   24,9962,    4,56,    8,   75,    2,    8,84,94,8,69,1,12,21.73,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-23,   47,    0,260,206,35,38,70,11,10,1,  130,   12,117,78,3,149,16,69,    6,31,19,1552,9,9,5,    5,10112,10134,   13,10090,    1,41,    4,   83,   18,    8,72,98,1,50,14,24,17.86,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-24,   17,    0,260,188,34,38,50,3,10,17,  140,   18,112,86,24,148,16,76,   24,14,9,1050,119,162,71,   16,10069,10081,    1,10057,   17,57,   18,   80,    1,    8,83,96,20,67,1,16,17.45,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-25,  140,    0,260,243,36,40,70,12,20,22,  140,   12,102,67,4,142,11,54,    6,45,28,1304,15,29,20,    9,10110,10133,   21,10076,    1,62,   24,   82,   12,    6,83,93,4,59,12,19,25.99,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-26,   66,    0,260,251,38,43,60,14,30,1,  120,   15,108,84,3,140,13,72,    6,40,25,1471,29,84,52,    9,10114,10138,   24,10099,   10,45,    2,   81,   13,    7,83,94,3,62,13,22,40.04,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-27,  101,    0,260,294,33,36,50,1,20,21,  100,    1,105,72,24,135,17,41,   24,10,6,731,73,41,7,    4,10186,10237,   24,10141,    1,45,   11,   75,   14,    6,86,96,24,70,16,11,38.54,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-28,    8,    0,260,23,11,18,30,17,10,2,   60,   17,126,33,4,191,17,12,    6,122,75,2588,0,0,0,    1,10244,10256,    8,10232,   17,1,    2,   83,   18,    5,72,99,2,46,16,40,31.4,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-29,    0,    0,260,15,26,28,40,13,10,2,  110,   12,125,50,4,172,12,22,    6,141,87,2782,0,0,0,    1,10271,10288,   24,10251,    1,46,    3,   81,   12,    1,77,97,4,58,14,43,33.74,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-30,    0,    0,260,37,27,31,50,16,10,12,   90,   16,149,75,2,214,14,53,    6,150,92,2877,0,0,0,    1,10271,10289,    1,10251,   24,63,    3,   81,   16,    1,70,90,1,46,12,47,34.05,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-05-31,    0,    0,260,53,25,25,40,13,10,3,   80,   12,167,91,4,230,15,60,   24,151,92,2878,0,0,0,    1,10221,10249,    1,10195,   24,56,    4,   83,   19,    0,64,96,3,34,17,49,29.72,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-06-01,    0,    0,260,97,28,30,50,14,10,4,  110,   11,185,85,4,252,14,47,    6,152,93,3021,0,0,0,    1,10169,10192,    1,10148,   18,65,    4,   83,   19,    0,51,91,4,24,13,54,28.45,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-06-02,    0,    0,260,116,16,22,30,7,10,20,   70,   13,210,108,4,273,17,68,    6,154,94,2936,0,0,0,    1,10146,10154,    1,10135,   17,69,    5,   83,   19,    3,56,90,3,26,17,54,26.73,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-06-03,    0,    0,260,236,17,26,40,9,0,24,   80,    2,207,154,5,253,13,123,    6,78,47,1931,0,0,0,    1,10185,10207,   22,10151,    1,64,   24,   80,   10,    7,73,91,24,59,17,36,23.99,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-06-04,    0,    0,260,359,18,21,40,14,0,6,   70,   14,200,128,4,257,14,98,    6,90,55,2327,25,12,4,   19,10203,10215,    8,10192,   16,22,    2,   83,   17,    7,74,98,2,53,14,42,19.76,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-06-05,   13,    0,260,300,24,27,40,14,20,1,   70,   14,157,134,24,186,11,129,   24,0,0,709,0,-1,-1,    1,10214,10237,   22,10192,    3,21,    1,   64,    9,    8,89,95,5,83,10,12,27.75,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-06-06,    0,    0,260,342,25,30,40,11,10,24,   80,   11,165,103,24,214,16,72,   24,123,74,2862,0,0,0,    1,10241,10248,   21,10235,    3,47,    2,   83,   18,    2,66,93,24,35,15,49,25.22,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-06-07,    0,    0,260,18,25,27,50,13,10,1,   90,   14,168,78,4,224,15,46,    6,152,92,2987,0,0,0,    1,10241,10249,    6,10229,   17,30,    4,   83,   18,    0,67,98,3,42,14,51,22.43,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-06-08,    0,    0,260,23,11,20,40,18,10,1,  100,   13,191,98,4,255,16,64,    6,152,92,2951,0,0,0,    1,10230,10243,    6,10217,   17,34,    3,   83,   19,    3,62,98,3,37,13,53,26.5,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-06-09,    0,    0,260,254,14,17,40,13,0,3,   80,   13,190,109,24,256,13,79,   24,138,83,2808,0,0,0,    1,10216,10222,    1,10210,   17,3,    3,   83,   18,    3,68,99,3,30,16,50,23.48,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-06-10,    0,    0,260,262,9,20,40,18,0,23,   70,   10,193,98,4,268,15,63,    6,143,86,2761,0,0,0,    1,10205,10215,    9,10195,   17,15,    2,   82,   13,    4,67,98,2,30,13,50,18.3,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-06-11,    0,    0,260,238,23,25,40,12,0,2,   80,   16,186,120,4,240,16,89,    6,73,44,2107,0,0,0,    1,10194,10201,    1,10187,   16,1,    2,   81,   17,    8,81,99,1,58,16,37,21.41,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-06-12,    0,    0,260,302,30,34,50,11,10,22,  100,   12,167,96,24,206,14,61,   24,89,53,2327,0,-1,-1,    1,10221,10268,   24,10182,    3,60,   24,   81,    8,    5,69,95,24,48,13,40,14.41,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-06-13,    0,    0,260,334,9,15,30,14,10,1,   50,   10,166,73,4,236,17,34,    6,153,92,3018,0,0,0,    1,10268,10289,   10,10242,   24,32,    2,   83,   17,    0,66,98,2,39,16,52,31.71,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-06-14,    0,    0,260,290,8,25,40,14,10,1,   80,   14,203,102,4,274,13,70,    6,148,89,2946,0,0,0,    1,10206,10235,    1,10190,   16,65,    1,   81,   13,    4,61,97,1,32,11,54,34.51,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
550,2021-06-15,    0,    0,260,18,20,24,40,15,10,23,   80,   11,183,131,24,231,15,91,   24,110,66,2637,0,0,0,    1,10207,10224,    8,10182,   24,70,    1,   83,   20,    7,61,87,2,42,15,47,34.55,0.3055277752962332,0.0143870785051839,0.0183725807938201,0.0016313493159167,0.0438638304778343,0.0442863142715765,0.279725016693976,0.2116852842611306,0.0805207703843284
