STN,YYYYMMDD,RD,SX,# STN,DDVEC,FHVEC,FG,FHX,FHXH,FHN,FHNH,FXX,FXXH,TG,TN,TNH,TX,TXH,T10N,T10NH,SQ,SP,Q,DR,RH,RHX,RHXH,PG,PX,PXH,PN,PNH,VVN,VVNH,VVX,VVXH,NG,UG,UX,UXH,UN,UNH,EV24,ALFANUMERIEKEWAARDE,Bebouwd gebied,Ingewikkelde samenstelling,Kalkhoudende zandgronden,Kalkloze zandgronden,Moerige gronden,Podzolgronden,Rivierkleigronden,Veengronden,Water,Zeekleigronden
563,2020-10-05,    1,    0,240,173,72,76,100,4,60,14,170,4,120,100,8,149,15,   99,   12,14,12,360,   77,189,71,24,9954,9976,18,9932,3,   57,    7,   75,    1,    8,88,96,24,80,1,6,18.69,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-06,  165,    0,240,217,52,57,80,10,20,19,120,10,129,112,22,153,15,  104,   24,22,19,494,   54,115,33,21,9966,9995,24,9947,11,   56,   22,   75,   12,    8,87,95,23,77,16,8,15.69,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-07,  178,    0,240,267,52,56,90,11,30,1,140,11,130,101,23,153,14,   93,   24,25,22,601,    4,21,11,4,10096,10150,21,10003,1,   60,    4,   80,   18,    7,79,89,1,66,20,9,42.99,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-08,   61,    0,240,230,48,71,120,12,10,24,190,13,132,105,22,167,16,   91,   24,0,0,184,   78,95,25,6,10112,10171,24,10073,10,   33,   11,   75,   20,    8,89,95,5,79,20,3,32.93,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-09,   59,    0,240,233,37,43,70,13,10,1,110,14,113,69,4,150,13,   44,    6,33,30,624,   28,80,39,19,10165,10175,2,10150,18,   58,   19,   83,   13,    7,81,97,3,61,13,9,28.94,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-10,   61,    0,240,255,42,48,90,9,10,18,140,10,90,51,23,124,10,   37,   24,39,35,559,   41,99,31,16,10177,10189,21,10164,1,   58,   18,   82,    9,    5,82,96,22,62,9,8,38.36,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-11,   88,    0,240,292,27,36,70,13,20,2,120,13,96,40,2,144,13,   20,    6,34,31,658,   18,30,10,10,10196,10213,21,10182,4,   61,    5,   80,   13,    6,84,95,24,61,13,10,37.39,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-12,   61,    0,240,227,19,31,60,12,0,7,90,12,103,58,4,145,13,   29,    6,50,46,777,    5,6,4,10,10182,10211,2,10130,24,   59,    9,   83,   14,    8,83,97,1,57,12,11,33.7,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-13,    1,    0,240,119,39,47,60,11,40,5,80,2,103,79,24,133,12,   67,   24,57,52,798,    0,-1,-1,1,10130,10175,24,10107,6,   65,    7,   80,   14,    7,81,91,7,67,14,12,29.44,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-14,    0,    0,240,36,48,49,90,13,20,8,140,13,101,72,2,123,11,   60,    6,32,30,641,    0,0,0,1,10197,10208,22,10179,1,   66,    5,   83,   13,    8,78,89,7,63,15,9,24.69,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-15,    0,    0,240,31,40,40,60,12,20,23,100,12,97,66,24,123,12,   29,   24,31,29,638,    0,-1,-1,1,10221,10237,21,10205,3,   70,   21,   83,   14,    7,70,85,24,57,14,9,16.16,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-16,    0,    0,240,33,17,19,40,11,0,22,60,8,87,50,21,121,12,   21,   24,44,41,731,    0,0,0,1,10235,10247,10,10222,24,   70,    1,   83,   13,    6,76,90,23,56,13,10,21.56,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-17,    0,    0,240,176,7,13,30,6,0,2,40,6,94,74,1,129,14,   54,   24,13,12,447,    0,-1,-1,1,10209,10219,1,10203,15,   39,   23,   75,   11,    8,88,97,24,77,12,6,22.67,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-18,    0,    0,240,286,15,23,50,13,10,1,80,14,97,49,23,139,13,   24,   24,35,33,614,    2,7,7,21,10214,10220,10,10205,4,    7,    4,   80,   13,    6,88,98,4,69,13,9,18.15,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-19,    1,    0,240,151,28,33,50,24,10,1,70,20,93,68,3,120,15,   52,    6,0,0,289,   12,16,10,2,10185,10219,1,10121,24,   50,    7,   83,   16,    8,85,97,1,64,16,4,24.91,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-20,    0,    0,240,165,48,50,60,7,40,2,90,6,117,81,3,144,16,   73,    6,0,0,210,    0,-1,-1,1,10066,10109,1,10047,24,   65,   24,   75,    1,    8,83,91,24,77,3,3,20.42,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-21,   73,    0,240,196,72,87,150,19,50,1,240,18,150,127,8,198,15,  124,   12,16,15,279,   80,98,30,8,10004,10059,24,9950,14,   34,   21,   80,   14,    7,85,95,8,67,14,5,21.19,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-22,   41,    0,240,210,60,60,90,12,30,20,120,2,131,82,24,163,12,   71,   24,65,63,673,    3,1,1,14,10092,10112,24,10063,1,   62,   24,   75,   10,    3,85,96,24,75,11,11,28.52,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-23,    1,    0,240,200,38,42,70,21,20,1,120,21,122,68,4,168,12,   44,    6,65,64,735,    0,0,0,1,10093,10112,1,10082,12,   14,    6,   75,   16,    5,89,98,2,80,16,11,24.0,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-24,    0,    0,240,190,72,74,120,24,50,3,170,23,137,107,4,162,24,  100,    6,11,11,406,    6,5,5,9,10065,10099,4,10000,24,   59,    7,   75,   11,    8,84,93,3,74,24,7,30.4,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-25,   88,    0,240,192,65,66,110,1,50,16,170,1,115,87,24,161,1,   78,   24,0,0,226,   40,84,48,4,9994,10002,9,9984,6,   62,    4,   75,    1,    8,86,92,5,74,2,3,24.09,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-26,   40,    0,240,199,66,67,90,10,40,1,140,10,101,80,4,128,14,   71,    6,39,39,555,   17,20,10,24,9988,10004,23,9979,2,   65,    1,   75,    9,    7,83,92,3,70,13,8,22.96,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-27,   18,    0,240,193,71,74,90,11,50,4,150,19,101,79,7,124,24,   73,   12,36,36,454,   50,53,11,1,10005,10024,8,9976,20,   42,   20,   75,   16,    7,88,94,19,75,24,7,31.29,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-28,   29,    0,240,206,68,72,100,11,40,3,180,16,103,86,2,129,11,   74,    6,24,24,414,   33,38,21,16,10036,10052,12,10012,1,   61,    4,   75,   10,    7,84,91,22,73,23,6,28.61,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-29,   65,    0,240,236,62,69,100,24,50,15,140,24,115,94,4,147,24,   84,    6,13,13,313,   65,74,17,17,10119,10146,12,10058,1,   58,   17,   74,    2,    6,82,94,17,69,10,5,37.43,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-30,   77,    0,240,233,91,92,110,10,50,24,170,7,149,141,24,162,12,  135,    6,1,1,263,   49,21,5,15,10167,10210,23,10125,3,   21,   18,   70,   21,    8,87,95,24,81,11,4,31.16,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-10-31,   38,    0,240,188,55,62,90,20,40,6,140,21,131,86,24,148,13,   72,   24,15,15,347,   20,23,15,17,10154,10208,1,10102,19,   24,    1,   75,   12,    8,86,96,1,73,13,5,25.86,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-01,   15,    0,240,199,74,79,120,16,40,1,190,15,139,96,1,176,24,   85,    6,13,13,275,   31,21,9,20,10069,10129,1,10026,24,   33,   22,   75,   11,    8,87,94,22,79,11,4,35.27,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-02,   25,    0,240,224,101,105,140,12,80,18,240,12,156,115,24,184,4,  106,   24,8,8,219,    4,3,1,10,10063,10154,24,10016,3,   40,   12,   80,   16,    6,78,92,8,64,23,4,31.85,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-03,    1,    0,240,225,58,69,120,14,30,7,180,14,94,57,7,124,13,   38,   12,52,55,511,   13,34,28,15,10192,10243,24,10163,1,   60,   14,   80,    3,    5,74,89,15,65,12,7,26.87,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-04,   11,    0,240,261,30,34,60,2,10,21,80,1,76,36,22,123,13,   15,   24,71,75,618,    0,0,0,1,10318,10377,24,10245,1,   63,   24,   80,   11,    2,80,92,23,61,12,8,21.87,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-05,    0,    0,240,227,15,21,50,13,10,2,70,12,76,30,6,132,13,    7,   12,48,51,490,    0,-1,-1,1,10377,10391,9,10363,24,   56,    5,   80,   13,    6,87,98,5,68,13,7,28.18,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-06,    0,    0,240,103,27,28,50,19,10,1,80,20,85,49,24,125,13,   33,   24,52,56,530,    0,0,0,1,10317,10363,1,10254,24,   57,    7,   72,   16,    6,84,96,2,68,13,7,26.25,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-07,    0,    0,240,114,16,20,30,1,10,4,50,1,71,29,7,130,15,    9,    6,79,85,586,    0,0,0,1,10230,10248,1,10216,24,   26,   23,   75,    9,    1,85,98,23,72,14,8,25.67,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-08,    0,    0,240,101,19,20,30,11,10,1,50,22,87,27,3,130,14,   13,    6,39,42,393,    0,0,0,1,10214,10222,22,10205,14,    2,    1,   71,   14,    6,91,98,1,80,14,6,27.52,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-09,    0,    0,240,134,24,25,40,7,10,2,60,9,128,94,6,173,14,   76,    6,54,59,530,    0,0,0,1,10224,10236,24,10216,4,   50,   23,   75,   11,    7,87,96,24,71,13,8,21.66,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-10,    0,    0,240,159,8,18,30,9,10,1,50,16,123,93,3,161,14,   78,    6,26,29,377,    0,-1,-1,1,10246,10261,21,10230,3,   21,   24,   61,   13,    8,93,98,2,80,13,6,20.05,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-11,    0,    0,240,156,42,43,70,23,20,2,100,23,113,105,22,127,15,   97,   24,9,10,266,    0,0,0,1,10218,10259,1,10155,24,    1,    3,   70,   19,    8,93,99,2,86,19,4,27.33,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-12,   34,    0,240,198,49,59,80,10,30,21,140,10,100,66,24,126,14,   47,   24,39,43,315,   18,38,30,6,10150,10178,20,10115,5,   57,    6,   75,   14,    7,87,93,24,79,14,5,6.53,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-17,   15,    0,240,220,76,77,90,6,60,16,140,6,124,106,1,138,14,  103,    6,14,16,210,   23,12,5,4,10208,10234,21,10173,3,   29,    3,   75,   11,    8,87,95,4,80,11,3,10.13,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-18,    0,    0,240,195,63,70,100,20,50,3,150,22,125,99,6,145,19,   90,    6,72,83,496,   18,18,13,23,10179,10233,1,10129,21,   23,   22,   80,   16,    5,79,93,22,66,19,8,36.25,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-19,   26,    0,240,283,55,66,100,4,20,20,170,4,84,36,21,112,1,   15,   24,31,36,302,   20,26,7,15,10222,10318,24,10144,3,   58,    7,   75,   12,    7,77,89,19,68,2,4,15.62,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-20,   20,    0,240,219,29,44,70,21,10,7,110,1,64,45,8,89,12,   30,   12,3,4,184,    2,2,2,5,10326,10343,11,10297,24,   70,    6,   80,   10,    7,75,82,6,65,10,2,32.03,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-21,    0,    0,240,210,66,68,90,8,50,16,130,9,93,61,1,112,15,   57,    6,0,0,74,   35,12,6,24,10257,10288,1,10232,24,   21,   24,   75,    1,    8,90,94,6,79,1,1,21.21,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-22,   49,    0,240,259,43,46,70,4,30,18,110,3,90,53,18,119,10,   25,   18,36,43,361,   35,42,16,2,10243,10254,21,10227,2,   20,    1,   75,   10,    6,82,97,2,70,12,5,22.41,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-23,    0,    0,240,218,35,40,50,12,20,7,80,12,65,25,7,110,12,    7,   12,63,75,456,    0,0,0,1,10267,10285,11,10249,24,   63,   24,   82,   14,    6,79,90,24,62,13,6,27.91,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-24,    0,    0,240,177,48,50,60,6,40,1,90,22,78,52,1,102,14,   44,    6,20,24,203,    0,0,0,1,10202,10246,1,10154,24,   37,    3,   70,   19,    8,89,94,2,83,14,3,16.17,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-25,    0,    0,240,173,41,43,60,1,20,22,90,10,68,39,5,94,24,   32,    6,56,67,374,    0,-1,-1,1,10155,10178,24,10142,7,   61,   19,   68,    1,    8,86,90,5,78,13,5,21.7,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-26,    0,    0,240,354,4,18,40,1,10,6,60,1,88,69,24,99,4,   65,   24,0,0,84,   76,46,11,23,10202,10210,10,10181,1,   26,    3,   70,   10,    8,92,97,6,85,13,1,25.15,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-27,   65,    0,240,78,22,24,40,11,10,4,60,10,65,42,8,75,10,   27,    6,0,0,128,    7,3,3,1,10197,10205,1,10189,15,    6,    5,   70,    9,    8,93,98,5,89,10,2,27.85,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-28,    1,    0,240,81,38,39,60,18,30,1,90,18,50,39,21,65,14,   41,   24,15,18,256,    0,0,0,1,10215,10248,24,10189,5,    4,   21,   67,   13,    8,93,99,22,85,14,3,25.5,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-29,    0,    0,240,98,22,26,40,1,0,17,70,10,16,-25,24,40,1,  -37,   24,30,37,284,    0,0,0,1,10267,10278,20,10248,1,   10,    1,   61,   13,    5,91,98,2,82,13,3,27.65,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
563,2020-11-30,    0,    0,240,215,37,53,80,17,20,1,160,22,43,-25,1,98,22,  -37,    6,0,0,59,   94,146,28,24,10198,10270,1,10119,22,   13,   12,   68,   24,    8,93,97,19,80,24,1,22.06,0.1829617201472697,0.0310404534997185,0.0045343598370841,0.003432000972656,0.0290357364760142,0.0086602220285924,0.0583679827244568,0.2942397227916202,0.2877614224362274,0.0999663790863601
