DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
332,19131229,    9,     ,
332,19131230,    8,     ,
332,19131231,    0,     ,
332,19140101,    0,     ,
332,19140102,   18,     ,
332,19140103,    6,     ,
332,19140104,   18,     ,
332,19140105,   76,     ,
332,19140106,   64,     ,
332,19140107,   48,     ,
332,19140108,   74,     ,
332,19140109,   25,     ,
332,19140110,    0,     ,
332,19140111,    0,     ,
332,19140112,    0,     ,
332,19140113,    0,     ,
332,19140114,    0,     ,
332,19140115,    0,     ,
332,19140116,    0,     ,
332,19140117,    0,     ,
332,19140118,    0,     ,
332,19140119,    0,     ,
332,19140120,    0,     ,
332,19140121,    0,     ,
332,19140122,    0,     ,
332,19140123,    0,     ,
332,19140124,    0,     ,
332,19140125,    0,     ,
332,19140126,    0,     ,
332,19140127,   34,     ,
332,19140128,    0,     ,
332,19140129,    0,     ,
332,19140130,   22,     ,
332,19140131,   17,     ,
332,19140201,   13,     ,
332,19140202,    0,     ,
332,19140203,    0,     ,
332,19140204,    0,     ,
332,19140205,    0,     ,
332,19140206,    0,     ,
332,19140207,    0,     ,
332,19140208,    0,     ,
332,19140209,    0,     ,
332,19140210,    0,     ,
332,19140211,    0,     ,
332,19140212,   12,     ,
332,19140213,    0,     ,
332,19140214,   40,     ,
332,19140215,   44,     ,
332,19140216,   38,     ,
332,19140217,    8,     ,
332,19140218,    9,     ,
332,19140219,    0,     ,
332,19140220,    5,     ,
332,19140221,   26,     ,
332,19140222,   14,     ,
332,19140223,   32,     ,
332,19140224,    0,     ,
332,19140225,   46,     ,
332,19140226,    0,     ,
332,19140227,    0,     ,
332,19140228,    0,     ,
332,19140301,    0,     ,
332,19140302,    0,     ,
332,19140303,    0,     ,
332,19140304,   44,     ,
332,19140305,  121,     ,
332,19140306,  106,     ,
332,19140307,   32,     ,
332,19140308,    0,     ,
332,19140309,  300,     ,
332,19140310,  175,     ,
332,19140311,   30,     ,
332,19140312,    6,     ,
332,19140313,   55,     ,
332,19140314,   50,     ,
332,19140315,   15,     ,
332,19140316,   82,     ,
332,19140317,  106,     ,
332,19140318,    6,     ,
332,19140319,   22,     ,
332,19140320,   12,     ,
332,19140321,   52,     ,
332,19140322,    0,     ,
332,19140323,    2,     ,
332,19140324,    8,     ,
332,19140325,   72,     ,
332,19140326,   70,     ,
332,19140327,   45,     ,
332,19140328,   16,     ,
332,19140329,    0,     ,
332,19140330,    0,     ,
332,19140331,    4,     ,
332,19140401,    0,     ,
332,19140402,    0,     ,
332,19140403,    4,     ,
332,19140404,    8,     ,
332,19140405,    0,     ,
332,19140406,  172,     ,
332,19140407,   70,     ,
332,19140408,   37,     ,
332,19140409,    1,     ,
332,19140410,   16,     ,
332,19140411,    2,     ,
332,19140412,   22,     ,
332,19140413,    0,     ,
332,19140414,   12,     ,
332,19140415,    2,     ,
332,19140416,    0,     ,
332,19140417,    0,     ,
332,19140418,    0,     ,
332,19140419,    0,     ,
332,19140420,    0,     ,
332,19140421,    0,     ,
332,19140422,    0,     ,
332,19140423,    0,     ,
332,19140424,    8,     ,
332,19140425,    8,     ,
332,19140426,    0,     ,
332,19140427,    0,     ,
332,19140428,    0,     ,
332,19140429,    0,     ,
332,19140430,    0,     ,
332,19140501,    0,     ,
332,19140502,    0,     ,
332,19140503,    0,     ,
332,19140504,    0,     ,
332,19140505,    8,     ,
332,19140506,   26,     ,
332,19140507,   16,     ,
332,19140508,   48,     ,
332,19140509,   34,     ,
332,19140510,   12,     ,
332,19140511,    4,     ,
332,19140512,   22,     ,
332,19140513,   28,     ,
332,19140514,   23,     ,
332,19140515,    0,     ,
332,19140516,    0,     ,
332,19140517,    0,     ,
332,19140518,    0,     ,
332,19140519,    0,     ,
332,19140520,    0,     ,
332,19140521,    0,     ,
332,19140522,    0,     ,
332,19140523,    0,     ,
332,19140524,   72,     ,
332,19140525,   24,     ,
332,19140526,    2,     ,
332,19140527,    6,     ,
332,19140528,    0,     ,
332,19140529,   46,     ,
332,19140530,    0,     ,
332,19140531,    0,     ,
332,19140601,   24,     ,
332,19140602,    0,     ,
332,19140603,    0,     ,
332,19140604,    0,     ,
332,19140605,    0,     ,
332,19140606,   46,     ,
332,19140607,   30,     ,
332,19140608,  124,     ,
332,19140609,   75,     ,
332,19140610,  294,     ,
332,19140611,    2,     ,
332,19140612,    0,     ,
332,19140613,    0,     ,
332,19140614,    0,     ,
332,19140615,    0,     ,
332,19140616,    0,     ,
332,19140617,    0,     ,
332,19140618,    0,     ,
332,19140619,    0,     ,
332,19140620,    0,     ,
332,19140621,    0,     ,
332,19140622,   44,     ,
332,19140623,   95,     ,
332,19140624,  160,     ,
332,19140625,   60,     ,
332,19140626,   31,     ,
332,19140627,    0,     ,
332,19140628,    0,     ,
332,19140629,    0,     ,
332,19140630,    0,     ,
332,19140701,    0,     ,
332,19140702,    0,     ,
332,19140703,   96,     ,
332,19140704,  305,     ,
332,19140705,    4,     ,
332,19140706,  113,     ,
332,19140707,   10,     ,
332,19140708,    6,     ,
332,19140709,    0,     ,
332,19140710,    0,     ,
332,19140711,    0,     ,
332,19140712,    0,     ,
332,19140713,    0,     ,
332,19140714,    0,     ,
332,19140715,    0,     ,
332,19140716,   41,     ,
332,19140717,    2,     ,
332,19140718,    0,     ,
332,19140719,    0,     ,
332,19140720,    0,     ,
332,19140721,    0,     ,
332,19140722,    1,     ,
332,19140723,    8,     ,
332,19140724,  364,     ,
332,19140725,   36,     ,
332,19140726,  102,     ,
332,19140727,  148,     ,
332,19140728,   27,     ,
332,19140729,   46,     ,
332,19140730,  200,     ,
332,19140731,  136,     ,
332,19140801,    0,     ,
332,19140802,    1,     ,
332,19140803,   46,     ,
332,19140804,    0,     ,
332,19140805,    0,     ,
332,19140806,   10,     ,
332,19140807,    6,     ,
332,19140808,   62,     ,
332,19140809,    0,     ,
332,19140810,    0,     ,
332,19140811,   20,     ,
332,19140812,    0,     ,
332,19140813,    0,     ,
332,19140814,    0,     ,
332,19140815,    0,     ,
332,19140816,    0,     ,
332,19140817,    0,     ,
332,19140818,    0,     ,
332,19140819,    0,     ,
332,19140820,    0,     ,
332,19140821,    2,     ,
332,19140822,   13,     ,
332,19140823,    0,     ,
332,19140824,    0,     ,
332,19140825,    0,     ,
332,19140826,    1,     ,
332,19140827,   21,     ,
332,19140828,    0,     ,
332,19140829,    0,     ,
332,19140830,    0,     ,
332,19140831,    8,     ,
332,19140901,   11,     ,
332,19140902,    0,     ,
332,19140903,    0,     ,
332,19140904,    0,     ,
332,19140905,    0,     ,
332,19140906,    0,     ,
332,19140907,    0,     ,
332,19140908,    0,     ,
332,19140909,    0,     ,
332,19140910,   12,     ,
332,19140911,    6,     ,
332,19140912,  115,     ,
332,19140913,  202,     ,
332,19140914,   28,     ,
332,19140915,   13,     ,
332,19140916,    0,     ,
332,19140917,    0,     ,
332,19140918,  152,     ,
332,19140919,    8,     ,
332,19140920,  106,     ,
332,19140921,    8,     ,
332,19140922,    5,     ,
332,19140923,    0,     ,
332,19140924,    0,     ,
332,19140925,    0,     ,
332,19140926,    0,     ,
332,19140927,    0,     ,
332,19140928,    0,     ,
332,19140929,   18,     ,
332,19140930,    7,     ,
332,19141001,    8,     ,
332,19141002,   12,     ,
332,19141003,    3,     ,
332,19141004,   10,     ,
332,19141005,   30,     ,
332,19141006,   86,     ,
332,19141007,    2,     ,
332,19141008,    0,     ,
332,19141009,    0,     ,
332,19141010,    4,     ,
332,19141011,    0,     ,
332,19141012,    0,     ,
332,19141013,    0,     ,
332,19141014,    4,     ,
332,19141015,    0,     ,
332,19141016,    0,     ,
332,19141017,    0,     ,
332,19141018,    2,     ,
332,19141019,    1,     ,
332,19141020,    4,     ,
332,19141021,   19,     ,
332,19141022,    3,     ,
332,19141023,    2,     ,
332,19141024,    0,     ,
332,19141025,   12,     ,
332,19141026,  148,     ,
332,19141027,   24,     ,
332,19141028,    8,     ,
332,19141029,   27,     ,
332,19141030,  135,     ,
332,19141031,    0,     ,
332,19141101,    1,     ,
332,19141102,   28,     ,
332,19141103,    2,     ,
332,19141104,    3,     ,
332,19141105,    4,     ,
332,19141106,    2,     ,
332,19141107,    2,     ,
332,19141108,    8,     ,
332,19141109,    0,     ,
332,19141110,    0,     ,
332,19141111,    9,     ,
332,19141112,  154,     ,
332,19141113,   40,     ,
332,19141114,  172,     ,
332,19141115,   18,     ,
332,19141116,   45,     ,
332,19141117,    2,     ,
332,19141118,   19,     ,
332,19141119,    0,     ,
332,19141120,    1,     ,
332,19141121,   11,     ,
332,19141122,    0,     ,
332,19141123,    0,     ,
332,19141124,    0,     ,
332,19141125,    4,     ,
332,19141126,    0,     ,
332,19141127,    8,     ,
332,19141128,    4,     ,
332,19141129,  108,     ,
332,19141130,    6,     ,
332,19141201,    6,     ,
332,19141202,    8,     ,
332,19141203,    4,     ,
332,19141204,   12,     ,
332,19141205,   10,     ,
332,19141206,    0,     ,
332,19141207,  100,     ,
332,19141208,  280,     ,
332,19141209,    1,     ,
332,19141210,   24,     ,
332,19141211,    6,     ,
332,19141212,    0,     ,
332,19141213,   13,     ,
332,19141214,   44,     ,
332,19141215,   26,     ,
332,19141216,   95,     ,
332,19141217,    1,     ,
332,19141218,    0,     ,
332,19141219,   72,     ,
332,19141220,  118,     ,
332,19141221,    0,     ,
332,19141222,   12,     ,
332,19141223,    2,     ,
332,19141224,   20,     ,
332,19141225,   15,     ,
332,19141226,    3,     ,
332,19141227,    4,     ,
332,19141228,   48,     ,
332,19141229,  130,     ,
332,19141230,   32,     ,
332,19141231,    0,     ,
332,19150101,   12,     ,
332,19150102,   11,     ,
332,19150103,   13,     ,
332,19150104,   35,     ,
332,19150105,   52,     ,
332,19150106,   31,     ,
332,19150107,   16,     ,
332,19150108,   12,     ,
332,19150109,   28,     ,
332,19150110,   44,     ,
332,19150111,   46,     ,
332,19150112,   35,     ,
332,19150113,    3,     ,
332,19150114,    3,     ,
332,19150115,    6,     ,
332,19150116,   34,     ,
332,19150117,   24,     ,
332,19150118,    8,     ,
332,19150119,    2,     ,
332,19150120,    4,     ,
332,19150121,   24,     ,
332,19150122,   51,     ,
332,19150123,    0,     ,
332,19150124,    4,     ,
332,19150125,    1,     ,
332,19150126,    5,     ,
332,19150127,    1,     ,
332,19150128,    0,     ,
332,19150129,   11,     ,
332,19150130,   34,     ,
