MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;08:10:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;08:20:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;08:30:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;08:40:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;08:50:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;09:00:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;09:10:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;09:20:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;09:30:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;09:40:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;09:50:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;10:00:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;10:10:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;10:20:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;10:30:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;10:40:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;10:50:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;11:00:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
;Blaarthem Dommel;BLAARTDML;;;Debiet;Q;;;;m3/s;;;Oppervlaktewater;OW;;;;;;;21-06-2021;11:10:00;;99999900000000000000000000000000000000;.999999E+38;;;;;Ongecontroleerd;NBXX_INWAT;;;;;;;-999999999;NVT;25831;670022,752;5699569,294;;;;;;;
